"pba-14v-2"
"Wavelength nm.","Abs."
269.20,0.133
269.40,0.133
269.60,0.132
269.80,0.132
270.00,0.132
270.20,0.131
270.40,0.131
270.60,0.131
270.80,0.130
271.00,0.130
271.20,0.130
271.40,0.129
271.60,0.129
271.80,0.128
272.00,0.128
272.20,0.127
272.40,0.127
272.60,0.126
272.80,0.126
273.00,0.126
273.20,0.125
273.40,0.125
273.60,0.124
273.80,0.123
274.00,0.123
274.20,0.123
274.40,0.122
274.60,0.122
274.80,0.122
275.00,0.121
275.20,0.121
275.40,0.120
275.60,0.120
275.80,0.119
276.00,0.119
276.20,0.118
276.40,0.118
276.60,0.117
276.80,0.117
277.00,0.116
277.20,0.116
277.40,0.115
277.60,0.115
277.80,0.114
278.00,0.114
278.20,0.113
278.40,0.113
278.60,0.112
278.80,0.112
279.00,0.111
279.20,0.111
279.40,0.110
279.60,0.109
279.80,0.109
280.00,0.108
280.20,0.108
280.40,0.107
280.60,0.107
280.80,0.106
281.00,0.105
281.20,0.105
281.40,0.104
281.60,0.104
281.80,0.103
282.00,0.102
282.20,0.102
282.40,0.102
282.60,0.101
282.80,0.100
283.00,0.100
283.20,0.099
283.40,0.099
283.60,0.098
283.80,0.097
284.00,0.097
284.20,0.096
284.40,0.096
284.60,0.095
284.80,0.094
285.00,0.094
285.20,0.094
285.40,0.093
285.60,0.092
285.80,0.092
286.00,0.091
286.20,0.091
286.40,0.090
286.60,0.090
286.80,0.089
287.00,0.088
287.20,0.088
287.40,0.087
287.60,0.087
287.80,0.086
288.00,0.085
288.20,0.085
288.40,0.084
288.60,0.083
288.80,0.083
289.00,0.082
289.20,0.082
289.40,0.081
289.60,0.081
289.80,0.080
290.00,0.079
290.20,0.079
290.40,0.078
290.60,0.078
290.80,0.077
291.00,0.077
291.20,0.076
291.40,0.075
291.60,0.075
291.80,0.074
292.00,0.074
292.20,0.073
292.40,0.072
292.60,0.072
292.80,0.071
293.00,0.071
293.20,0.070
293.40,0.070
293.60,0.069
293.80,0.068
294.00,0.068
294.20,0.067
294.40,0.067
294.60,0.066
294.80,0.066
295.00,0.065
295.20,0.065
295.40,0.064
295.60,0.064
295.80,0.063
296.00,0.063
296.20,0.062
296.40,0.061
296.60,0.061
296.80,0.060
297.00,0.060
297.20,0.059
297.40,0.059
297.60,0.058
297.80,0.058
298.00,0.057
298.20,0.057
298.40,0.056
298.60,0.056
298.80,0.055
299.00,0.055
299.20,0.054
299.40,0.054
299.60,0.053
299.80,0.053
300.00,0.052
300.20,0.052
300.40,0.051
300.60,0.051
300.80,0.050
301.00,0.050
301.20,0.049
301.40,0.049
301.60,0.048
301.80,0.048
302.00,0.047
302.20,0.047
302.40,0.047
302.60,0.046
302.80,0.046
303.00,0.045
303.20,0.045
303.40,0.045
303.60,0.044
303.80,0.044
304.00,0.044
304.20,0.044
304.40,0.043
304.60,0.043
304.80,0.043
305.00,0.042
305.20,0.042
305.40,0.042
305.60,0.042
305.80,0.041
306.00,0.041
306.20,0.041
306.40,0.041
306.60,0.040
306.80,0.040
307.00,0.040
307.20,0.040
307.40,0.039
307.60,0.039
307.80,0.039
308.00,0.039
308.20,0.038
308.40,0.038
308.60,0.038
308.80,0.037
309.00,0.037
309.20,0.037
309.40,0.037
309.60,0.037
309.80,0.036
310.00,0.036
310.20,0.036
310.40,0.036
310.60,0.036
310.80,0.035
311.00,0.035
311.20,0.035
311.40,0.035
311.60,0.035
311.80,0.035
312.00,0.035
312.20,0.035
312.40,0.034
312.60,0.034
312.80,0.034
313.00,0.034
313.20,0.034
313.40,0.034
313.60,0.034
313.80,0.034
314.00,0.033
314.20,0.033
314.40,0.033
314.60,0.033
314.80,0.033
315.00,0.033
315.20,0.033
315.40,0.033
315.60,0.033
315.80,0.032
316.00,0.032
316.20,0.033
316.40,0.032
316.60,0.033
316.80,0.033
317.00,0.032
317.20,0.032
317.40,0.032
317.60,0.032
317.80,0.032
318.00,0.032
318.20,0.032
318.40,0.032
318.60,0.032
318.80,0.031
319.00,0.031
319.20,0.031
319.40,0.031
319.60,0.031
319.80,0.031
320.00,0.031
320.20,0.031
320.40,0.031
320.60,0.031
320.80,0.031
321.00,0.031
321.20,0.031
321.40,0.031
321.60,0.031
321.80,0.031
322.00,0.031
322.20,0.031
322.40,0.031
322.60,0.031
322.80,0.031
323.00,0.031
323.20,0.031
323.40,0.031
323.60,0.031
323.80,0.031
324.00,0.031
324.20,0.031
324.40,0.031
324.60,0.031
324.80,0.031
325.00,0.031
325.20,0.031
325.40,0.030
325.60,0.030
325.80,0.030
326.00,0.030
326.20,0.030
326.40,0.030
326.60,0.030
326.80,0.030
327.00,0.030
327.20,0.030
327.40,0.030
327.60,0.030
327.80,0.030
328.00,0.030
328.20,0.030
328.40,0.030
328.60,0.030
328.80,0.030
329.00,0.030
329.20,0.030
329.40,0.030
329.60,0.030
329.80,0.030
330.00,0.030
330.20,0.030
