"pba-12v"
"Wavelength nm.","Abs."
269.40,0.123
269.60,0.122
269.80,0.122
270.00,0.122
270.20,0.121
270.40,0.121
270.60,0.121
270.80,0.120
271.00,0.120
271.20,0.120
271.40,0.119
271.60,0.119
271.80,0.118
272.00,0.118
272.20,0.118
272.40,0.117
272.60,0.117
272.80,0.116
273.00,0.116
273.20,0.115
273.40,0.115
273.60,0.114
273.80,0.114
274.00,0.113
274.20,0.113
274.40,0.113
274.60,0.112
274.80,0.112
275.00,0.111
275.20,0.111
275.40,0.110
275.60,0.110
275.80,0.109
276.00,0.109
276.20,0.108
276.40,0.108
276.60,0.108
276.80,0.107
277.00,0.107
277.20,0.106
277.40,0.106
277.60,0.105
277.80,0.105
278.00,0.104
278.20,0.104
278.40,0.103
278.60,0.103
278.80,0.102
279.00,0.102
279.20,0.101
279.40,0.101
279.60,0.100
279.80,0.099
280.00,0.099
280.20,0.098
280.40,0.098
280.60,0.097
280.80,0.097
281.00,0.096
281.20,0.095
281.40,0.095
281.60,0.094
281.80,0.094
282.00,0.093
282.20,0.093
282.40,0.092
282.60,0.092
282.80,0.091
283.00,0.091
283.20,0.090
283.40,0.090
283.60,0.089
283.80,0.089
284.00,0.088
284.20,0.088
284.40,0.087
284.60,0.087
284.80,0.086
285.00,0.086
285.20,0.085
285.40,0.085
285.60,0.084
285.80,0.084
286.00,0.083
286.20,0.083
286.40,0.082
286.60,0.081
286.80,0.081
287.00,0.080
287.20,0.080
287.40,0.079
287.60,0.079
287.80,0.078
288.00,0.078
288.20,0.077
288.40,0.077
288.60,0.076
288.80,0.076
289.00,0.075
289.20,0.075
289.40,0.074
289.60,0.073
289.80,0.073
290.00,0.072
290.20,0.072
290.40,0.071
290.60,0.071
290.80,0.070
291.00,0.070
291.20,0.069
291.40,0.069
291.60,0.068
291.80,0.068
292.00,0.067
292.20,0.067
292.40,0.066
292.60,0.066
292.80,0.065
293.00,0.065
293.20,0.064
293.40,0.063
293.60,0.063
293.80,0.062
294.00,0.062
294.20,0.062
294.40,0.061
294.60,0.061
294.80,0.060
295.00,0.060
295.20,0.059
295.40,0.059
295.60,0.058
295.80,0.058
296.00,0.057
296.20,0.057
296.40,0.056
296.60,0.056
296.80,0.055
297.00,0.055
297.20,0.054
297.40,0.054
297.60,0.053
297.80,0.053
298.00,0.053
298.20,0.052
298.40,0.052
298.60,0.051
298.80,0.051
299.00,0.051
299.20,0.050
299.40,0.050
299.60,0.050
299.80,0.050
300.00,0.049
300.20,0.049
300.40,0.049
300.60,0.048
300.80,0.048
301.00,0.048
301.20,0.047
301.40,0.047
301.60,0.046
301.80,0.046
302.00,0.046
302.20,0.045
302.40,0.045
302.60,0.045
302.80,0.045
303.00,0.044
303.20,0.044
303.40,0.044
303.60,0.043
303.80,0.043
304.00,0.043
304.20,0.042
304.40,0.042
304.60,0.042
304.80,0.042
305.00,0.041
305.20,0.041
305.40,0.041
305.60,0.040
305.80,0.040
306.00,0.040
306.20,0.040
306.40,0.040
306.60,0.039
306.80,0.039
307.00,0.039
307.20,0.039
307.40,0.039
307.60,0.038
307.80,0.038
308.00,0.038
308.20,0.038
308.40,0.038
308.60,0.038
308.80,0.037
309.00,0.037
309.20,0.037
309.40,0.037
309.60,0.037
309.80,0.036
310.00,0.036
310.20,0.036
310.40,0.036
310.60,0.036
310.80,0.035
311.00,0.035
311.20,0.035
311.40,0.035
311.60,0.035
311.80,0.035
312.00,0.035
312.20,0.035
312.40,0.034
312.60,0.034
312.80,0.034
313.00,0.034
313.20,0.034
313.40,0.034
313.60,0.034
313.80,0.034
314.00,0.034
314.20,0.034
314.40,0.034
314.60,0.033
314.80,0.033
315.00,0.033
315.20,0.033
315.40,0.033
315.60,0.033
315.80,0.033
316.00,0.033
316.20,0.033
316.40,0.033
316.60,0.033
316.80,0.033
317.00,0.033
317.20,0.033
317.40,0.033
317.60,0.033
317.80,0.033
318.00,0.033
318.20,0.033
318.40,0.033
318.60,0.033
318.80,0.033
319.00,0.032
319.20,0.032
319.40,0.032
319.60,0.032
319.80,0.032
320.00,0.032
320.20,0.032
320.40,0.032
320.60,0.032
320.80,0.032
321.00,0.032
321.20,0.032
321.40,0.032
321.60,0.032
321.80,0.032
322.00,0.032
322.20,0.032
322.40,0.032
322.60,0.032
322.80,0.032
323.00,0.032
323.20,0.032
323.40,0.032
323.60,0.032
323.80,0.032
324.00,0.032
324.20,0.032
324.40,0.032
324.60,0.032
324.80,0.032
325.00,0.032
325.20,0.032
325.40,0.032
325.60,0.032
325.80,0.032
326.00,0.032
326.20,0.032
326.40,0.032
326.60,0.032
326.80,0.032
327.00,0.032
327.20,0.032
327.40,0.032
327.60,0.032
327.80,0.032
328.00,0.032
328.20,0.032
328.40,0.032
328.60,0.033
328.80,0.032
329.00,0.032
329.20,0.032
329.40,0.032
329.60,0.032
329.80,0.032
330.00,0.032
330.20,0.032
330.40,0.032
330.60,0.032
330.80,0.032
331.00,0.033
331.20,0.033
331.40,0.033
331.60,0.033
331.80,0.033
332.00,0.033
332.20,0.033
332.40,0.033
332.60,0.033
332.80,0.033
333.00,0.033
333.20,0.033
333.40,0.033
333.60,0.033
333.80,0.033
334.00,0.033
334.20,0.034
334.40,0.034
334.60,0.034
334.80,0.034
335.00,0.034
335.20,0.034
335.40,0.034
335.60,0.034
335.80,0.034
336.00,0.034
336.20,0.034
336.40,0.034
336.60,0.034
336.80,0.034
337.00,0.034
337.20,0.034
337.40,0.035
337.60,0.035
337.80,0.035
338.00,0.035
338.20,0.035
338.40,0.035
338.60,0.035
338.80,0.035
339.00,0.035
339.20,0.035
339.40,0.035
339.60,0.035
339.80,0.035
340.00,0.035
340.20,0.036
340.40,0.036
340.60,0.036
340.80,0.036
341.00,0.036
341.20,0.036
341.40,0.036
341.60,0.036
341.80,0.036
342.00,0.036
342.20,0.037
342.40,0.037
342.60,0.036
342.80,0.036
343.00,0.036
343.20,0.036
343.40,0.036
343.60,0.036
343.80,0.036
344.00,0.036
344.20,0.036
344.40,0.037
344.60,0.037
344.80,0.037
345.00,0.037
345.20,0.037
345.40,0.037
345.60,0.037
345.80,0.038
346.00,0.038
346.20,0.038
346.40,0.038
346.60,0.038
346.80,0.038
347.00,0.038
347.20,0.038
347.40,0.039
347.60,0.038
347.80,0.039
348.00,0.039
348.20,0.039
348.40,0.039
348.60,0.039
348.80,0.039
349.00,0.039
349.20,0.039
349.40,0.039
349.60,0.039
349.80,0.040
350.00,0.040
350.20,0.040
350.40,0.040
350.60,0.039
350.80,0.040
351.00,0.040
351.20,0.040
351.40,0.039
351.60,0.039
351.80,0.039
352.00,0.039
352.20,0.040
352.40,0.040
352.60,0.040
352.80,0.040
353.00,0.040
353.20,0.040
353.40,0.040
353.60,0.040
353.80,0.041
354.00,0.040
354.20,0.040
354.40,0.041
354.60,0.041
354.80,0.041
355.00,0.041
355.20,0.041
355.40,0.041
355.60,0.041
355.80,0.041
356.00,0.041
356.20,0.041
356.40,0.041
356.60,0.041
356.80,0.042
357.00,0.042
357.20,0.042
357.40,0.042
357.60,0.042
357.80,0.042
358.00,0.042
358.20,0.042
358.40,0.042
358.60,0.042
358.80,0.042
359.00,0.042
359.20,0.042
359.40,0.042
359.60,0.043
359.80,0.043
360.00,0.043
360.20,0.043
360.40,0.043
360.60,0.043
360.80,0.043
361.00,0.044
361.20,0.044
361.40,0.044
361.60,0.044
361.80,0.044
362.00,0.044
362.20,0.043
362.40,0.043
362.60,0.043
362.80,0.044
363.00,0.044
363.20,0.044
363.40,0.044
363.60,0.044
363.80,0.044
364.00,0.044
364.20,0.044
364.40,0.044
364.60,0.045
364.80,0.045
365.00,0.045
365.20,0.045
365.40,0.045
365.60,0.045
365.80,0.045
366.00,0.045
366.20,0.046
366.40,0.045
366.60,0.045
366.80,0.045
367.00,0.046
367.20,0.045
367.40,0.045
367.60,0.045
367.80,0.046
368.00,0.046
368.20,0.046
368.40,0.046
368.60,0.046
368.80,0.046
369.00,0.047
369.20,0.046
369.40,0.046
369.60,0.047
369.80,0.047
370.00,0.047
370.20,0.047
370.40,0.047
370.60,0.047
370.80,0.047
371.00,0.047
371.20,0.047
371.40,0.047
371.60,0.047
371.80,0.048
372.00,0.048
372.20,0.048
372.40,0.048
372.60,0.048
372.80,0.048
373.00,0.048
373.20,0.048
373.40,0.048
373.60,0.048
373.80,0.048
374.00,0.048
374.20,0.049
374.40,0.049
374.60,0.049
374.80,0.049
375.00,0.049
375.20,0.049
375.40,0.050
375.60,0.050
375.80,0.050
376.00,0.050
376.20,0.050
376.40,0.050
376.60,0.051
376.80,0.050
377.00,0.051
377.20,0.051
377.40,0.051
377.60,0.051
377.80,0.051
378.00,0.051
378.20,0.051
378.40,0.051
378.60,0.051
378.80,0.051
379.00,0.051
379.20,0.051
379.40,0.051
379.60,0.051
379.80,0.051
380.00,0.051
380.20,0.051
380.40,0.052
380.60,0.052
380.80,0.052
381.00,0.052
381.20,0.052
381.40,0.052
381.60,0.052
381.80,0.052
382.00,0.052
382.20,0.053
382.40,0.053
382.60,0.053
382.80,0.053
383.00,0.053
383.20,0.053
383.40,0.053
383.60,0.053
383.80,0.054
384.00,0.054
384.20,0.054
384.40,0.054
384.60,0.054
384.80,0.054
385.00,0.054
385.20,0.054
385.40,0.054
385.60,0.054
385.80,0.054
386.00,0.054
386.20,0.054
386.40,0.055
386.60,0.055
386.80,0.055
387.00,0.055
387.20,0.055
387.40,0.055
387.60,0.055
387.80,0.055
388.00,0.055
388.20,0.055
388.40,0.055
388.60,0.055
388.80,0.055
389.00,0.055
389.20,0.055
389.40,0.056
389.60,0.056
389.80,0.056
390.00,0.056
390.20,0.056
390.40,0.056
390.60,0.056
390.80,0.057
391.00,0.057
391.20,0.057
391.40,0.057
391.60,0.057
391.80,0.057
392.00,0.057
392.20,0.057
392.40,0.057
392.60,0.057
392.80,0.057
393.00,0.057
393.20,0.058
393.40,0.058
393.60,0.058
393.80,0.058
394.00,0.058
394.20,0.058
394.40,0.058
394.60,0.058
394.80,0.058
395.00,0.059
395.20,0.059
395.40,0.059
395.60,0.059
395.80,0.059
396.00,0.059
396.20,0.059
396.40,0.059
396.60,0.059
396.80,0.059
397.00,0.059
397.20,0.059
397.40,0.060
397.60,0.060
397.80,0.060
398.00,0.060
398.20,0.060
398.40,0.060
398.60,0.060
398.80,0.060
399.00,0.060
399.20,0.060
399.40,0.060
399.60,0.060
399.80,0.061
400.00,0.061
400.20,0.061
400.40,0.061
400.60,0.061
400.80,0.061
401.00,0.061
401.20,0.062
401.40,0.062
401.60,0.062
401.80,0.062
402.00,0.062
402.20,0.062
402.40,0.062
402.60,0.062
402.80,0.063
403.00,0.063
403.20,0.063
403.40,0.063
403.60,0.063
403.80,0.063
404.00,0.063
404.20,0.063
404.40,0.063
404.60,0.063
404.80,0.063
405.00,0.063
405.20,0.064
405.40,0.064
405.60,0.064
405.80,0.064
406.00,0.064
406.20,0.064
406.40,0.064
