"pba-06v"
"Wavelength nm.","Abs."
190.00,0.168
190.20,0.169
190.40,0.170
190.60,0.172
190.80,0.173
191.00,0.174
191.20,0.175
191.40,0.177
191.60,0.177
191.80,0.178
192.00,0.179
192.20,0.179
192.40,0.180
192.60,0.179
192.80,0.179
193.00,0.180
193.20,0.179
193.40,0.180
193.60,0.180
193.80,0.181
194.00,0.181
194.20,0.182
194.40,0.183
194.60,0.184
194.80,0.185
195.00,0.186
195.20,0.189
195.40,0.190
195.60,0.191
195.80,0.191
196.00,0.192
196.20,0.193
196.40,0.194
196.60,0.194
196.80,0.194
197.00,0.194
197.20,0.194
197.40,0.195
197.60,0.195
197.80,0.196
198.00,0.196
198.20,0.196
198.40,0.197
198.60,0.197
198.80,0.197
199.00,0.197
199.20,0.198
199.40,0.198
199.60,0.198
199.80,0.198
200.00,0.198
200.20,0.198
200.40,0.198
200.60,0.197
200.80,0.198
201.00,0.198
201.20,0.197
201.40,0.197
201.60,0.197
201.80,0.197
202.00,0.197
202.20,0.197
202.40,0.197
202.60,0.197
202.80,0.197
203.00,0.197
203.20,0.197
203.40,0.196
203.60,0.196
203.80,0.196
204.00,0.196
204.20,0.195
204.40,0.195
204.60,0.194
204.80,0.194
205.00,0.192
205.20,0.192
205.40,0.192
205.60,0.191
205.80,0.190
206.00,0.189
206.20,0.188
206.40,0.187
206.60,0.185
206.80,0.184
207.00,0.183
207.20,0.181
207.40,0.180
207.60,0.179
207.80,0.177
208.00,0.174
208.20,0.173
208.40,0.171
208.60,0.170
208.80,0.168
209.00,0.166
209.20,0.164
209.40,0.162
209.60,0.160
209.80,0.158
210.00,0.156
210.20,0.154
210.40,0.152
210.60,0.150
210.80,0.147
211.00,0.145
211.20,0.142
211.40,0.140
211.60,0.138
211.80,0.135
212.00,0.133
212.20,0.131
212.40,0.128
212.60,0.126
212.80,0.123
213.00,0.121
213.20,0.119
213.40,0.117
213.60,0.115
213.80,0.113
214.00,0.111
214.20,0.108
214.40,0.106
214.60,0.104
214.80,0.102
215.00,0.100
215.20,0.098
215.40,0.096
215.60,0.094
215.80,0.093
216.00,0.090
216.20,0.088
216.40,0.086
216.60,0.085
216.80,0.083
217.00,0.082
217.20,0.080
217.40,0.079
217.60,0.078
217.80,0.076
218.00,0.074
218.20,0.073
218.40,0.072
218.60,0.071
218.80,0.069
219.00,0.068
219.20,0.068
219.40,0.066
219.60,0.065
219.80,0.064
220.00,0.063
220.20,0.063
220.40,0.062
220.60,0.061
220.80,0.061
221.00,0.060
221.20,0.060
221.40,0.060
221.60,0.059
221.80,0.059
222.00,0.059
222.20,0.059
222.40,0.058
222.60,0.058
222.80,0.058
223.00,0.058
223.20,0.057
223.40,0.057
223.60,0.057
223.80,0.057
224.00,0.057
224.20,0.057
224.40,0.058
224.60,0.058
224.80,0.058
225.00,0.058
225.20,0.059
225.40,0.059
225.60,0.060
225.80,0.060
226.00,0.061
226.20,0.061
226.40,0.062
226.60,0.062
226.80,0.062
227.00,0.063
227.20,0.064
227.40,0.065
227.60,0.065
227.80,0.066
228.00,0.066
228.20,0.067
228.40,0.068
228.60,0.069
228.80,0.069
229.00,0.070
229.20,0.071
229.40,0.072
229.60,0.073
229.80,0.073
230.00,0.074
230.20,0.075
230.40,0.076
230.60,0.076
230.80,0.077
231.00,0.078
231.20,0.079
231.40,0.079
231.60,0.080
231.80,0.081
232.00,0.082
232.20,0.083
232.40,0.084
232.60,0.085
232.80,0.086
233.00,0.087
233.20,0.088
233.40,0.089
233.60,0.090
233.80,0.091
234.00,0.092
234.20,0.093
234.40,0.094
234.60,0.095
234.80,0.096
235.00,0.097
235.20,0.098
235.40,0.099
235.60,0.100
235.80,0.101
236.00,0.102
236.20,0.103
236.40,0.104
236.60,0.105
236.80,0.106
237.00,0.107
237.20,0.108
237.40,0.109
237.60,0.110
237.80,0.111
238.00,0.112
238.20,0.113
238.40,0.114
238.60,0.114
238.80,0.115
239.00,0.116
239.20,0.117
239.40,0.118
239.60,0.119
239.80,0.120
240.00,0.121
240.20,0.122
240.40,0.123
240.60,0.124
240.80,0.125
241.00,0.126
241.20,0.127
241.40,0.127
241.60,0.128
241.80,0.129
242.00,0.130
242.20,0.130
242.40,0.131
242.60,0.132
242.80,0.133
243.00,0.133
243.20,0.134
243.40,0.135
243.60,0.135
243.80,0.136
244.00,0.137
244.20,0.138
244.40,0.138
244.60,0.139
244.80,0.140
245.00,0.140
245.20,0.141
245.40,0.141
245.60,0.142
245.80,0.142
246.00,0.143
246.20,0.143
246.40,0.144
246.60,0.144
246.80,0.145
247.00,0.145
247.20,0.146
247.40,0.146
247.60,0.147
247.80,0.147
248.00,0.148
248.20,0.148
248.40,0.148
248.60,0.149
248.80,0.149
249.00,0.149
249.20,0.149
249.40,0.150
249.60,0.150
249.80,0.150
250.00,0.150
250.20,0.150
250.40,0.150
250.60,0.150
250.80,0.151
251.00,0.151
251.20,0.151
251.40,0.151
251.60,0.151
251.80,0.151
252.00,0.151
252.20,0.151
252.40,0.151
252.60,0.151
252.80,0.151
253.00,0.151
253.20,0.151
253.40,0.151
253.60,0.151
253.80,0.151
254.00,0.151
254.20,0.150
254.40,0.150
254.60,0.150
254.80,0.150
255.00,0.150
255.20,0.150
255.40,0.149
255.60,0.149
255.80,0.149
256.00,0.149
256.20,0.149
256.40,0.148
256.60,0.148
256.80,0.148
257.00,0.148
257.20,0.147
257.40,0.147
257.60,0.146
257.80,0.146
258.00,0.146
258.20,0.145
258.40,0.145
258.60,0.145
258.80,0.144
259.00,0.144
259.20,0.143
259.40,0.143
259.60,0.142
259.80,0.142
260.00,0.141
260.20,0.141
260.40,0.140
260.60,0.140
260.80,0.139
261.00,0.138
261.20,0.138
261.40,0.137
261.60,0.137
261.80,0.136
262.00,0.135
262.20,0.135
262.40,0.134
262.60,0.133
262.80,0.133
263.00,0.132
263.20,0.131
263.40,0.131
263.60,0.130
263.80,0.129
264.00,0.128
264.20,0.128
264.40,0.127
264.60,0.126
264.80,0.125
265.00,0.124
265.20,0.124
265.40,0.123
265.60,0.122
265.80,0.121
266.00,0.121
266.20,0.120
266.40,0.119
266.60,0.118
266.80,0.117
267.00,0.116
267.20,0.115
267.40,0.115
267.60,0.114
267.80,0.113
268.00,0.112
268.20,0.111
268.40,0.110
268.60,0.109
268.80,0.108
269.00,0.107
269.20,0.106
269.40,0.105
269.60,0.104
269.80,0.103
270.00,0.102
270.20,0.102
270.40,0.101
270.60,0.100
270.80,0.099
271.00,0.098
271.20,0.097
271.40,0.096
271.60,0.095
271.80,0.094
272.00,0.092
272.20,0.091
272.40,0.090
272.60,0.089
272.80,0.088
273.00,0.087
273.20,0.086
273.40,0.085
273.60,0.084
273.80,0.082
274.00,0.081
274.20,0.081
274.40,0.079
274.60,0.078
274.80,0.077
275.00,0.076
275.20,0.075
275.40,0.074
275.60,0.073
275.80,0.072
276.00,0.071
276.20,0.070
276.40,0.069
276.60,0.068
276.80,0.067
277.00,0.066
277.20,0.065
277.40,0.064
277.60,0.063
277.80,0.061
278.00,0.061
278.20,0.059
278.40,0.059
278.60,0.058
278.80,0.056
279.00,0.056
279.20,0.054
279.40,0.053
279.60,0.052
279.80,0.051
280.00,0.050
280.20,0.049
280.40,0.048
280.60,0.047
280.80,0.046
281.00,0.045
281.20,0.044
281.40,0.043
281.60,0.042
281.80,0.041
282.00,0.041
282.20,0.040
282.40,0.039
282.60,0.038
282.80,0.037
283.00,0.036
283.20,0.036
283.40,0.035
283.60,0.034
283.80,0.033
