"pba-02v"
"Wavelength nm.","Abs."
190.00,0.161
190.20,0.162
190.40,0.163
190.60,0.164
190.80,0.165
191.00,0.167
191.20,0.169
191.40,0.171
191.60,0.173
191.80,0.173
192.00,0.174
192.20,0.176
192.40,0.177
192.60,0.176
192.80,0.177
193.00,0.178
193.20,0.178
193.40,0.179
193.60,0.179
193.80,0.180
194.00,0.181
194.20,0.181
194.40,0.182
194.60,0.184
194.80,0.184
195.00,0.184
195.20,0.187
195.40,0.188
195.60,0.189
195.80,0.190
196.00,0.190
196.20,0.191
196.40,0.191
196.60,0.191
196.80,0.192
197.00,0.192
197.20,0.192
197.40,0.193
197.60,0.192
197.80,0.193
198.00,0.193
198.20,0.193
198.40,0.193
198.60,0.194
198.80,0.194
199.00,0.194
199.20,0.195
199.40,0.195
199.60,0.194
199.80,0.196
200.00,0.196
200.20,0.196
200.40,0.196
200.60,0.196
200.80,0.196
201.00,0.197
201.20,0.196
201.40,0.196
201.60,0.196
201.80,0.196
202.00,0.196
202.20,0.196
202.40,0.195
202.60,0.195
202.80,0.194
203.00,0.194
203.20,0.194
203.40,0.194
203.60,0.193
203.80,0.193
204.00,0.192
204.20,0.191
204.40,0.191
204.60,0.190
204.80,0.189
205.00,0.188
205.20,0.187
205.40,0.186
205.60,0.185
205.80,0.184
206.00,0.183
206.20,0.182
206.40,0.181
206.60,0.179
206.80,0.179
207.00,0.178
207.20,0.177
207.40,0.176
207.60,0.174
207.80,0.172
208.00,0.171
208.20,0.169
208.40,0.167
208.60,0.166
208.80,0.164
209.00,0.162
209.20,0.160
209.40,0.158
209.60,0.155
209.80,0.152
210.00,0.150
210.20,0.148
210.40,0.146
210.60,0.143
210.80,0.141
211.00,0.138
211.20,0.135
211.40,0.133
211.60,0.130
211.80,0.128
212.00,0.125
212.20,0.123
212.40,0.120
212.60,0.118
212.80,0.115
213.00,0.113
213.20,0.110
213.40,0.108
213.60,0.105
213.80,0.103
214.00,0.101
214.20,0.098
214.40,0.096
214.60,0.094
214.80,0.092
215.00,0.090
215.20,0.088
215.40,0.086
215.60,0.083
215.80,0.082
216.00,0.080
216.20,0.078
216.40,0.077
216.60,0.075
216.80,0.073
217.00,0.072
217.20,0.071
217.40,0.069
217.60,0.067
217.80,0.066
218.00,0.065
218.20,0.063
218.40,0.063
218.60,0.061
218.80,0.060
219.00,0.059
219.20,0.058
219.40,0.057
219.60,0.055
219.80,0.054
220.00,0.054
220.20,0.053
220.40,0.052
220.60,0.052
220.80,0.051
221.00,0.051
221.20,0.050
221.40,0.050
221.60,0.050
221.80,0.049
222.00,0.049
222.20,0.049
222.40,0.049
222.60,0.049
222.80,0.049
223.00,0.049
223.20,0.050
223.40,0.050
223.60,0.050
223.80,0.050
224.00,0.050
224.20,0.050
224.40,0.051
224.60,0.051
224.80,0.052
225.00,0.052
225.20,0.053
225.40,0.053
225.60,0.053
225.80,0.054
226.00,0.054
226.20,0.055
226.40,0.055
226.60,0.056
226.80,0.057
227.00,0.057
227.20,0.058
227.40,0.058
227.60,0.059
227.80,0.060
228.00,0.061
228.20,0.061
228.40,0.062
228.60,0.063
228.80,0.064
229.00,0.065
229.20,0.066
229.40,0.067
229.60,0.067
229.80,0.068
230.00,0.069
230.20,0.070
230.40,0.071
230.60,0.072
230.80,0.073
231.00,0.074
231.20,0.075
231.40,0.076
231.60,0.077
231.80,0.078
232.00,0.079
232.20,0.080
232.40,0.081
232.60,0.082
232.80,0.083
233.00,0.084
233.20,0.085
233.40,0.086
233.60,0.087
233.80,0.088
234.00,0.089
234.20,0.090
234.40,0.091
234.60,0.092
234.80,0.093
235.00,0.094
235.20,0.095
235.40,0.096
235.60,0.097
235.80,0.098
236.00,0.099
236.20,0.100
236.40,0.101
236.60,0.102
236.80,0.103
237.00,0.104
237.20,0.105
237.40,0.106
