"pba-16v"
"Wavelength nm.","Abs."
190.00,0.177
190.20,0.177
190.40,0.177
190.60,0.178
190.80,0.178
191.00,0.179
191.20,0.179
191.40,0.180
191.60,0.181
191.80,0.181
192.00,0.181
192.20,0.182
192.40,0.183
192.60,0.182
192.80,0.184
193.00,0.185
193.20,0.185
193.40,0.186
193.60,0.187
193.80,0.188
194.00,0.189
194.20,0.189
194.40,0.191
194.60,0.192
194.80,0.192
195.00,0.193
195.20,0.195
195.40,0.196
195.60,0.197
195.80,0.198
196.00,0.199
196.20,0.199
196.40,0.200
196.60,0.200
196.80,0.201
197.00,0.201
197.20,0.201
197.40,0.202
197.60,0.202
197.80,0.203
198.00,0.203
198.20,0.203
198.40,0.203
198.60,0.204
198.80,0.204
199.00,0.204
199.20,0.204
199.40,0.204
199.60,0.205
199.80,0.205
200.00,0.205
200.20,0.206
200.40,0.206
200.60,0.206
200.80,0.207
201.00,0.207
201.20,0.207
201.40,0.208
201.60,0.208
201.80,0.208
202.00,0.209
202.20,0.209
202.40,0.210
202.60,0.210
202.80,0.210
203.00,0.210
203.20,0.210
203.40,0.211
203.60,0.211
203.80,0.210
204.00,0.211
204.20,0.210
204.40,0.210
204.60,0.211
204.80,0.211
205.00,0.210
205.20,0.210
205.40,0.210
205.60,0.210
205.80,0.210
206.00,0.209
206.20,0.209
206.40,0.209
206.60,0.208
206.80,0.208
207.00,0.208
207.20,0.206
207.40,0.206
207.60,0.206
207.80,0.206
208.00,0.205
208.20,0.205
208.40,0.204
208.60,0.204
208.80,0.203
209.00,0.202
209.20,0.202
209.40,0.201
209.60,0.201
209.80,0.200
210.00,0.200
210.20,0.198
210.40,0.197
210.60,0.196
210.80,0.195
211.00,0.194
211.20,0.193
211.40,0.192
211.60,0.191
211.80,0.190
212.00,0.189
212.20,0.187
212.40,0.185
212.60,0.185
212.80,0.184
213.00,0.182
213.20,0.181
213.40,0.180
213.60,0.179
213.80,0.178
214.00,0.176
214.20,0.175
214.40,0.174
214.60,0.172
214.80,0.171
215.00,0.170
215.20,0.168
215.40,0.167
215.60,0.165
215.80,0.164
216.00,0.163
216.20,0.161
216.40,0.160
216.60,0.159
216.80,0.158
217.00,0.157
217.20,0.156
217.40,0.154
217.60,0.153
217.80,0.152
218.00,0.151
218.20,0.150
218.40,0.149
218.60,0.147
218.80,0.146
219.00,0.145
219.20,0.144
219.40,0.142
219.60,0.140
219.80,0.139
220.00,0.138
220.20,0.136
220.40,0.135
220.60,0.134
220.80,0.133
221.00,0.131
221.20,0.130
221.40,0.129
221.60,0.128
221.80,0.127
222.00,0.126
222.20,0.125
222.40,0.124
222.60,0.123
222.80,0.121
223.00,0.120
223.20,0.119
223.40,0.118
223.60,0.117
223.80,0.116
224.00,0.115
224.20,0.114
224.40,0.113
224.60,0.112
224.80,0.111
225.00,0.110
225.20,0.110
225.40,0.109
225.60,0.108
225.80,0.107
226.00,0.106
226.20,0.106
226.40,0.105
226.60,0.104
226.80,0.104
227.00,0.103
227.20,0.102
227.40,0.102
227.60,0.101
227.80,0.101
228.00,0.100
228.20,0.099
228.40,0.099
228.60,0.098
228.80,0.098
229.00,0.097
229.20,0.096
229.40,0.096
229.60,0.096
229.80,0.095
230.00,0.094
230.20,0.094
230.40,0.094
230.60,0.093
230.80,0.093
231.00,0.093
231.20,0.092
231.40,0.092
231.60,0.092
231.80,0.091
232.00,0.090
232.20,0.090
232.40,0.090
232.60,0.090
232.80,0.090
233.00,0.090
233.20,0.090
233.40,0.090
233.60,0.090
233.80,0.090
234.00,0.090
234.20,0.090
234.40,0.090
234.60,0.090
234.80,0.090
235.00,0.090
235.20,0.090
235.40,0.091
235.60,0.091
235.80,0.091
236.00,0.091
236.20,0.091
236.40,0.091
236.60,0.092
236.80,0.092
237.00,0.092
237.20,0.092
237.40,0.092
237.60,0.092
237.80,0.092
238.00,0.092
238.20,0.093
238.40,0.093
238.60,0.093
238.80,0.094
239.00,0.094
239.20,0.094
239.40,0.095
239.60,0.095
239.80,0.096
240.00,0.096
240.20,0.096
240.40,0.097
240.60,0.097
240.80,0.097
241.00,0.098
241.20,0.098
241.40,0.098
241.60,0.099
241.80,0.099
242.00,0.100
242.20,0.100
242.40,0.100
242.60,0.101
242.80,0.101
243.00,0.101
243.20,0.102
243.40,0.102
243.60,0.102
243.80,0.103
244.00,0.103
244.20,0.104
244.40,0.104
244.60,0.104
244.80,0.105
245.00,0.105
245.20,0.105
245.40,0.106
245.60,0.106
245.80,0.106
246.00,0.106
246.20,0.107
246.40,0.107
246.60,0.107
246.80,0.108
247.00,0.108
247.20,0.108
247.40,0.109
247.60,0.109
247.80,0.109
248.00,0.109
248.20,0.110
248.40,0.110
248.60,0.110
248.80,0.110
249.00,0.110
249.20,0.111
249.40,0.111
249.60,0.111
249.80,0.111
