0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	4	1	5	4	11	5	11	16	10	13	26	13	14	11	20	13	14	21	25	31	19	21	25	21	24	36	25	19	29	24	42	35	31	39	51	44	47	34	49	37	31	52	44	22	44	45	58	47	51	52	42	36	35	26	38	27	22	15	19	32	29	24	35	17	13	33	12	27	15	2	14	10	18	6	3	0	4	5	4	2	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	3	2	2	0	0	4	5	3	4	5	4	4	8	7	17	13	13	16	16	13	23	18	21	19	18	25	12	14	16	15	24	21	20	18	16	34	21	43	42	36	36	45	43	51	31	52	37	35	27	41	44	39	35	52	53	48	43	40	32	30	19	25	15	14	13	20	23	23	26	15	17	17	23	20	14	11	13	12	7	3	0	4	1	3	2	2	0	0	0	1	2	0	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	1	3	1	0	1	2	1	3	4	7	8	6	16	12	8	15	20	15	17	21	16	29	28	13	14	19	13	19	18	22	25	15	23	31	24	43	16	26	54	32	39	51	44	40	32	39	41	37	26	63	33	50	49	42	41	39	36	33	23	14	31	24	19	10	27	28	27	22	23	21	12	12	20	16	9	12	8	6	5	2	5	3	4	2	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	3	1	1	0	0	0	1	2	4	2	6	3	7	3	7	6	7	9	14	18	9	23	25	16	21	23	19	17	16	18	17	10	16	26	21	33	36	27	22	25	31	38	38	42	36	37	43	41	39	33	31	43	49	38	36	45	47	48	25	37	42	34	28	30	20	27	20	24	24	21	22	25	26	17	12	16	10	17	15	11	11	12	6	4	3	2	5	1	2	3	0	1	1	1	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	1	1	0	1	1	2	0	10	7	6	9	10	6	10	16	13	17	25	25	18	20	24	17	21	18	20	26	16	16	23	25	35	24	23	24	37	47	34	49	34	34	38	37	30	34	35	43	39	48	36	41	54	56	49	32	39	33	23	29	20	16	27	25	31	29	23	15	17	20	18	11	14	14	15	13	6	8	6	1	11	2	0	0	2	0	0	0	0	2	5	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1	0	2	2	2	3	1	5	3	6	6	6	10	5	8	5	18	14	16	13	23	14	23	19	24	17	13	15	16	19	16	25	28	30	33	35	28	38	31	34	31	25	34	33	32	29	39	34	24	44	50	37	45	42	34	32	49	26	18	25	24	24	26	17	16	17	21	29	22	18	12	9	6	17	10	5	10	6	2	6	3	4	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	1	6	2	4	3	2	3	8	3	5	11	10	15	18	12	7	16	21	20	27	29	30	17	23	18	22	19	19	16	29	39	29	30	27	38	36	35	45	57	48	40	36	48	42	37	42	47	40	47	41	51	41	56	49	49	40	46	34	29	30	33	18	25	26	21	19	33	21	21	15	11	16	19	12	14	8	9	4	7	6	0	0	1	0	1	0	1	0	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	1	0	2	2	3	2	5	3	3	5	6	7	10	11	8	9	15	15	16	12	12	16	21	21	22	19	19	18	23	29	9	22	29	21	15	28	32	33	42	45	30	42	30	24	32	38	38	38	39	37	34	43	39	40	39	27	41	28	33	19	16	21	22	20	27	20	23	26	12	16	7	14	6	9	12	8	3	8	7	8	4	0	0	0	2	0	0	1	2	1	2	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	2	1	0	1	3	1	2	3	0	3	6	2	6	4	10	12	16	8	14	11	19	23	25	17	24	20	24	23	17	16	22	25	26	24	23	19	31	33	31	23	35	30	45	43	53	29	34	25	47	33	50	32	43	45	52	32	45	42	46	33	29	27	29	19	24	27	27	27	38	26	26	17	14	18	12	13	22	10	7	7	1	8	8	4	1	2	0	0	0	0	3	4	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	2	1	1	2	0	1	1	2	1	3	0	2	2	1	5	4	7	8	8	16	21	14	11	18	23	10	21	26	20	14	24	24	27	23	16	26	20	17	22	28	25	36	54	37	37	24	47	43	31	36	45	33	28	28	40	33	45	50	36	54	34	50	38	35	35	22	21	30	23	22	33	29	24	24	22	23	14	13	14	13	11	4	4	3	3	8	4	3	0	1	1	2	2	1	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	1	1	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2	6	2	1	6	4	6	4	7	6	14	15	17	16	12	19	21	23	25	24	21	23	20	9	13	21	17	22	23	24	22	42	40	46	32	43	36	38	49	38	37	39	40	36	45	35	38	44	50	35	37	38	37	26	34	28	28	17	21	28	26	39	30	20	17	21	23	14	14	21	12	8	8	8	1	9	4	3	1	0	1	2	1	3	3	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
